testCaseId,queryParameters,operationId,path,httpMethod,headerParameters,pathParameters,formParameters,bodyParameter,statusCode,responseBody
289,apikey=b2e7529f&t=The Thomas Crown Affair,searchByIdOrTitle,/,GET,,t=The Thomas Crown Affair,,,200,"{""Title"": ""The Thomas Crown Affair"", ""Year"": ""1999"", ""Rated"": ""R"", ""Released"": ""06 Aug 1999"", ""Runtime"": ""113 min"", ""Genre"": ""Crime, Romance, Thriller"", ""Director"": ""John McTiernan"", ""Writer"": ""Alan Trustman, Leslie Dixon, Kurt Wimmer"", ""Actors"": ""Pierce Brosnan, Rene Russo, Denis Leary"", ""Plot"": ""A very rich and successful playboy amuses himself by stealing artwork, but may have met his match in a seductive detective."", ""Language"": ""English, German, Polish, French"", ""Country"": ""United States"", ""Awards"": ""3 wins & 2 nominations"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BMmU0N2RiNTAtN2U4MS00MWExLTkzNGYtOTVhNmVmZmNlOTUzXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""6.8/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""69%""}, {""Source"": ""Metacritic"", ""Value"": ""72/100""}], ""Metascore"": ""72"", ""imdbRating"": ""6.8"", ""imdbVotes"": ""99,668"", ""imdbID"": ""tt0155267"", ""Type"": ""movie"", ""DVD"": ""30 Nov 2016"", ""BoxOffice"": ""$69,305,181"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}"
290,apikey=b2e7529f&t=The Odd Couple,searchByIdOrTitle,/,GET,,t=The Odd Couple,,,200,"{""Title"": ""The Odd Couple"", ""Year"": ""1968"", ""Rated"": ""Passed"", ""Released"": ""16 May 1968"", ""Runtime"": ""105 min"", ""Genre"": ""Comedy"", ""Director"": ""Gene Saks"", ""Writer"": ""Neil Simon"", ""Actors"": ""Jack Lemmon, Walter Matthau, John Fiedler"", ""Plot"": ""A New Yorker newly separated from his wife moves in with his best friend, a divorced sportswriter, but their ideas of housekeeping and lifestyles are as different as night and day."", ""Language"": ""English"", ""Country"": ""United States"", ""Awards"": ""Nominated for 2 Oscars. 3 wins & 9 nominations total"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BZDVhNzQxZDEtMzcyZC00ZDg1LWFkZDctOWYxZTY0ZmYzYjc2XkEyXkFqcGdeQXVyMjA0MDQ0Mjc@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""7.6/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""98%""}, {""Source"": ""Metacritic"", ""Value"": ""86/100""}], ""Metascore"": ""86"", ""imdbRating"": ""7.6"", ""imdbVotes"": ""37,245"", ""imdbID"": ""tt0063374"", ""Type"": ""movie"", ""DVD"": ""01 Aug 2013"", ""BoxOffice"": ""$44,527,234"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}"
291,apikey=b2e7529f&t=Romeo and Juliet,searchByIdOrTitle,/,GET,,t=Romeo and Juliet,,,200,"{""Title"": ""Romeo and Juliet"", ""Year"": ""1968"", ""Rated"": ""PG"", ""Released"": ""08 Oct 1968"", ""Runtime"": ""138 min"", ""Genre"": ""Drama, Romance"", ""Director"": ""Franco Zeffirelli"", ""Writer"": ""William Shakespeare, Franco Brusati, Masolino D'Amico"", ""Actors"": ""Leonard Whiting, Olivia Hussey, John McEnery"", ""Plot"": ""When two young members of feuding families meet, forbidden love ensues."", ""Language"": ""English, French"", ""Country"": ""United Kingdom, Italy"", ""Awards"": ""Won 2 Oscars. 16 wins & 16 nominations total"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BM2I5ZDRhMjMtNzVmMy00YTExLWJiZjktODdjMjM0ZDYyY2ZjXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""7.6/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""95%""}, {""Source"": ""Metacritic"", ""Value"": ""69/100""}], ""Metascore"": ""69"", ""imdbRating"": ""7.6"", ""imdbVotes"": ""34,428"", ""imdbID"": ""tt0063518"", ""Type"": ""movie"", ""DVD"": ""22 Nov 2015"", ""BoxOffice"": ""N/A"", ""Production"": ""Dino de Laurentiis Cinematografica"", ""Website"": ""N/A"", ""Response"": ""True""}"
292,apikey=b2e7529f&t=The Devil Rides Out,searchByIdOrTitle,/,GET,,t=The Devil Rides Out,,,200,"{""Title"": ""The Devil Rides Out"", ""Year"": ""1968"", ""Rated"": ""G"", ""Released"": ""01 Aug 1968"", ""Runtime"": ""95 min"", ""Genre"": ""Horror"", ""Director"": ""Terence Fisher"", ""Writer"": ""Richard Matheson, Dennis Wheatley"", ""Actors"": ""Christopher Lee, Charles Gray, Nike Arrighi"", ""Plot"": ""Devil worshipers plan to convert two new victims."", ""Language"": ""English"", ""Country"": ""United Kingdom"", ""Awards"": ""N/A"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BOWEwMjRhMWMtZTk3My00MzBiLWFmODctNmQ0NjkzZjMzM2U1XkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""6.9/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""96%""}], ""Metascore"": ""N/A"", ""imdbRating"": ""6.9"", ""imdbVotes"": ""10,131"", ""imdbID"": ""tt0062885"", ""Type"": ""movie"", ""DVD"": ""N/A"", ""BoxOffice"": ""N/A"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}"
293,apikey=b2e7529f&t=The Green Berets,searchByIdOrTitle,/,GET,,t=The Green Berets,,,200,"{""Title"": ""The Green Berets"", ""Year"": ""1968"", ""Rated"": ""G"", ""Released"": ""27 Jul 1968"", ""Runtime"": ""142 min"", ""Genre"": ""Drama, War"", ""Director"": ""Ray Kellogg, John Wayne, Mervyn LeRoy"", ""Writer"": ""James Lee Barrett, Robin Moore"", ""Actors"": ""John Wayne, David Janssen, Jim Hutton"", ""Plot"": ""Col. Mike Kirby picks two teams of crack Green Berets for a mission in South Vietnam. First off is to build and control a camp that is trying to be taken by the enemy the second mission is to kidnap a North Vietnamese General."", ""Language"": ""English, Vietnamese, German, Danish"", ""Country"": ""United States"", ""Awards"": ""2 nominations"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BZmQzMzlkNGItZGYyNi00ZWRiLTk2YmQtNTc5ZmMzMzc3ZmQyXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""5.6/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""23%""}], ""Metascore"": ""N/A"", ""imdbRating"": ""5.6"", ""imdbVotes"": ""13,768"", ""imdbID"": ""tt0063035"", ""Type"": ""movie"", ""DVD"": ""01 Jan 2009"", ""BoxOffice"": ""N/A"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}"
294,apikey=b2e7529f&t=Chitty Chitty Bang Bang,searchByIdOrTitle,/,GET,,t=Chitty Chitty Bang Bang,,,200,"{""Title"": ""Chitty Chitty Bang Bang"", ""Year"": ""1968"", ""Rated"": ""G"", ""Released"": ""18 Dec 1968"", ""Runtime"": ""144 min"", ""Genre"": ""Adventure, Family, Fantasy"", ""Director"": ""Ken Hughes"", ""Writer"": ""Ian Fleming, Roald Dahl, Ken Hughes"", ""Actors"": ""Dick Van Dyke, Sally Ann Howes, Lionel Jeffries"", ""Plot"": ""A down-on-his-luck inventor turns a broken-down Grand Prix car into a fancy vehicle for his children, and then they go off on a magical fantasy adventure to save their grandfather in a far-off land."", ""Language"": ""English, German, French, Latin"", ""Country"": ""United Kingdom, United States"", ""Awards"": ""Nominated for 1 Oscar. 4 nominations total"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BZWU3MTA3MmQtNTA0NS00MTA4LTg4MDgtZWQ4MDc2MTNlNmVkXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""6.9/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""70%""}, {""Source"": ""Metacritic"", ""Value"": ""64/100""}], ""Metascore"": ""64"", ""imdbRating"": ""6.9"", ""imdbVotes"": ""50,287"", ""imdbID"": ""tt0062803"", ""Type"": ""movie"", ""DVD"": ""12 Jan 2017"", ""BoxOffice"": ""$7,500,000"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}"
295,apikey=b2e7529f&t=The Swimmer,searchByIdOrTitle,/,GET,,t=The Swimmer,,,200,"{""Title"": ""The Swimmer"", ""Year"": ""1968"", ""Rated"": ""M/PG"", ""Released"": ""09 Aug 1968"", ""Runtime"": ""95 min"", ""Genre"": ""Drama"", ""Director"": ""Frank Perry, Sydney Pollack"", ""Writer"": ""Eleanor Perry, John Cheever"", ""Actors"": ""Burt Lancaster, Janet Landgard, Janice Rule"", ""Plot"": ""A man spends a summer day swimming as many pools as he can all over a quiet suburban town."", ""Language"": ""English"", ""Country"": ""United States"", ""Awards"": ""1 win"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BNjJiMmM1N2MtNTczMS00ZDY5LTg0Y2YtYzQ5YmE3MjMyYjM4XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""7.6/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""100%""}], ""Metascore"": ""N/A"", ""imdbRating"": ""7.6"", ""imdbVotes"": ""13,455"", ""imdbID"": ""tt0063663"", ""Type"": ""movie"", ""DVD"": ""25 May 2010"", ""BoxOffice"": ""N/A"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}"
296,apikey=b2e7529f&t=Blackbeard's Ghost,searchByIdOrTitle,/,GET,,t=Blackbeard's Ghost,,,200,"{""Title"": ""Blackbeard's Ghost"", ""Year"": ""1968"", ""Rated"": ""Approved"", ""Released"": ""08 Feb 1968"", ""Runtime"": ""106 min"", ""Genre"": ""Comedy, Family, Fantasy"", ""Director"": ""Robert Stevenson"", ""Writer"": ""Bill Walsh, Don DaGradi, Ben Stahl"", ""Actors"": ""Peter Ustinov, Dean Jones, Suzanne Pleshette"", ""Plot"": ""An unassuming track coach accidentally invokes the spirit of a notorious pirate long believed dead, and who must now team up to lay the pirate to rest, and save a local hotel from a mobster."", ""Language"": ""English"", ""Country"": ""United States"", ""Awards"": ""N/A"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BNDRiN2M3ZDktYzhjMi00ZmVjLWJjOWQtZDVhMDNjZmZlYWRhXkEyXkFqcGdeQXVyMjA0MzYwMDY@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""6.8/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""82%""}, {""Source"": ""Metacritic"", ""Value"": ""71/100""}], ""Metascore"": ""71"", ""imdbRating"": ""6.8"", ""imdbVotes"": ""6,661"", ""imdbID"": ""tt0062737"", ""Type"": ""movie"", ""DVD"": ""01 Jan 2014"", ""BoxOffice"": ""$10,900,000"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}"
297,apikey=b2e7529f&t=Pretty Poison,searchByIdOrTitle,/,GET,,t=Pretty Poison,,,200,"{""Title"": ""Pretty Poison"", ""Year"": ""1968"", ""Rated"": ""Approved"", ""Released"": ""18 Sep 1968"", ""Runtime"": ""89 min"", ""Genre"": ""Comedy, Crime, Romance"", ""Director"": ""Noel Black"", ""Writer"": ""Stephen Geller, Lorenzo Semple Jr."", ""Actors"": ""Anthony Perkins, Tuesday Weld, Beverly Garland"", ""Plot"": ""When a mentally-disturbed young man tells a pretty girl that he's a secret agent, she believes him; murder and mayhem ensue."", ""Language"": ""English, Russian, Spanish"", ""Country"": ""United States"", ""Awards"": ""1 win & 1 nomination"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BNGZkMTYwYzQtM2M3MS00MTUyLTgzODYtZjcxY2YwZGFiNmIyXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""7.0/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""100%""}], ""Metascore"": ""N/A"", ""imdbRating"": ""7.0"", ""imdbVotes"": ""3,922"", ""imdbID"": ""tt0063456"", ""Type"": ""movie"", ""DVD"": ""01 Oct 2010"", ""BoxOffice"": ""N/A"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}"
298,apikey=b2e7529f&t=Funny Girl,searchByIdOrTitle,/,GET,,t=Funny Girl,,,200,"{""Title"": ""Funny Girl"", ""Year"": ""1968"", ""Rated"": ""G"", ""Released"": ""19 Sep 1968"", ""Runtime"": ""151 min"", ""Genre"": ""Biography, Comedy, Drama"", ""Director"": ""William Wyler"", ""Writer"": ""Isobel Lennart"", ""Actors"": ""Barbra Streisand, Omar Sharif, Kay Medford"", ""Plot"": ""The life of Fanny Brice, famed comedienne and entertainer of the early 1900s. We see her rise to fame as a Ziegfeld girl, subsequent career, and her personal life, particularly her relationship with Nick Arnstein."", ""Language"": ""English"", ""Country"": ""United States"", ""Awards"": ""Won 1 Oscar. 8 wins & 16 nominations total"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BNTAxZTA2OTAtYzY1OC00NGZlLWJlZDItOWZhMjU4YTc3YWRmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""7.4/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""94%""}, {""Source"": ""Metacritic"", ""Value"": ""89/100""}], ""Metascore"": ""89"", ""imdbRating"": ""7.4"", ""imdbVotes"": ""24,782"", ""imdbID"": ""tt0062994"", ""Type"": ""movie"", ""DVD"": ""16 Apr 2012"", ""BoxOffice"": ""$52,223,306"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}"
299,apikey=b2e7529f&t=If....,searchByIdOrTitle,/,GET,,t=If....,,,200,"{""Title"": ""If...."", ""Year"": ""1968"", ""Rated"": ""X"", ""Released"": ""21 May 1969"", ""Runtime"": ""111 min"", ""Genre"": ""Crime, Drama"", ""Director"": ""Lindsay Anderson"", ""Writer"": ""David Sherwin, John Howlett"", ""Actors"": ""Malcolm McDowell, David Wood, Richard Warwick"", ""Plot"": ""In this allegorical story, a revolution led by pupil Mick Travis takes place at an old established private school in England."", ""Language"": ""English, Latin"", ""Country"": ""United Kingdom"", ""Awards"": ""Nominated for 2 BAFTA 2 wins & 4 nominations total"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BN2RhNTBjNzUtZmM5Mi00ZjQyLWFlOWEtMTg1ZjI5OGYwOWZiXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""7.4/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""90%""}], ""Metascore"": ""N/A"", ""imdbRating"": ""7.4"", ""imdbVotes"": ""25,064"", ""imdbID"": ""tt0063850"", ""Type"": ""movie"", ""DVD"": ""15 Jul 2017"", ""BoxOffice"": ""N/A"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}"
300,apikey=b2e7529f&t=The Little Drummer Boy,searchByIdOrTitle,/,GET,,t=The Little Drummer Boy,,,200,"{""Title"": ""The Little Drummer Boy"", ""Year"": ""1968"", ""Rated"": ""Not Rated"", ""Released"": ""19 Dec 1968"", ""Runtime"": ""25 min"", ""Genre"": ""Animation, Drama, Family"", ""Director"": ""Jules Bass, Arthur Rankin Jr., Takeo Nakamura"", ""Writer"": ""Romeo Muller"", ""Actors"": ""Jos\u00e9 Ferrer, Paul Frees, June Foray"", ""Plot"": ""An orphan drummer boy who hates humanity finds his life changed forever when he meets three wise men en route to Bethlehem."", ""Language"": ""English"", ""Country"": ""United States"", ""Awards"": ""N/A"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BOWM3N2JkODgtZWJlMy00ZWQ5LTg0ZjAtOTI1ZWFhOWU4ZTUxXkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""6.9/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""75%""}], ""Metascore"": ""N/A"", ""imdbRating"": ""6.9"", ""imdbVotes"": ""6,355"", ""imdbID"": ""tt0063230"", ""Type"": ""movie"", ""DVD"": ""30 Nov 2013"", ""BoxOffice"": ""N/A"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}"
301,apikey=b2e7529f&t=Faces,searchByIdOrTitle,/,GET,,t=Faces,,,200,"{""Title"": ""Faces"", ""Year"": ""1968"", ""Rated"": ""R"", ""Released"": ""17 Oct 1968"", ""Runtime"": ""130 min"", ""Genre"": ""Drama"", ""Director"": ""John Cassavetes"", ""Writer"": ""John Cassavetes"", ""Actors"": ""John Marley, Gena Rowlands, Lynn Carlin"", ""Plot"": ""A middle-aged man leaves his wife for another woman. Shortly after, his ex-wife also begins a relationship with a younger partner. The film follows their struggles to find love amongst each other."", ""Language"": ""English"", ""Country"": ""United States"", ""Awards"": ""Nominated for 3 Oscars. 5 wins & 9 nominations total"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BMzlkNDNjMzQtZThlMi00Yzk5LThmZjktOTU5ZjM2Y2RmMjgxXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""7.4/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""85%""}, {""Source"": ""Metacritic"", ""Value"": ""88/100""}], ""Metascore"": ""88"", ""imdbRating"": ""7.4"", ""imdbVotes"": ""11,505"", ""imdbID"": ""tt0062952"", ""Type"": ""movie"", ""DVD"": ""29 Nov 2011"", ""BoxOffice"": ""N/A"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}"
302,apikey=b2e7529f&t=Hell in the Pacific,searchByIdOrTitle,/,GET,,t=Hell in the Pacific,,,200,"{""Title"": ""Hell in the Pacific"", ""Year"": ""1968"", ""Rated"": ""G"", ""Released"": ""18 Dec 1968"", ""Runtime"": ""103 min"", ""Genre"": ""Adventure, War"", ""Director"": ""John Boorman"", ""Writer"": ""Alexander Jacobs, Eric Bercovici, Reuben Bercovitch"", ""Actors"": ""Lee Marvin, Toshir\u00f4 Mifune"", ""Plot"": ""During World War II, an American pilot and a marooned Japanese navy captain are deserted on a small uninhabited island in the Pacific Ocean. There, they must cease their hostility and cooperate if they want to survive, but will they?"", ""Language"": ""English, Japanese"", ""Country"": ""United States"", ""Awards"": ""1 win & 2 nominations"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BOTRjNDhhN2EtMGJmMy00YWNiLTg5ZmYtNTNiMjc5OGNlMTgwXkEyXkFqcGdeQXVyMjgxMzgyNjI@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""7.3/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""67%""}], ""Metascore"": ""N/A"", ""imdbRating"": ""7.3"", ""imdbVotes"": ""8,987"", ""imdbID"": ""tt0063056"", ""Type"": ""movie"", ""DVD"": ""N/A"", ""BoxOffice"": ""N/A"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}"
303,"apikey=b2e7529f&t=Yours, Mine and Ours",searchByIdOrTitle,/,GET,,"t=Yours, Mine and Ours",,,200,"{""Title"": ""Yours, Mine and Ours"", ""Year"": ""1968"", ""Rated"": ""Unrated"", ""Released"": ""24 Apr 1968"", ""Runtime"": ""111 min"", ""Genre"": ""Comedy, Family"", ""Director"": ""Melville Shavelson"", ""Writer"": ""Melville Shavelson, Mort Lachman, Madelyn Davis"", ""Actors"": ""Lucille Ball, Henry Fonda, Van Johnson"", ""Plot"": ""A widower with ten children falls for a widow with eight, and they must decide about forming a huge, unconventional family."", ""Language"": ""English, French, Cantonese, Japanese"", ""Country"": ""United States"", ""Awards"": ""2 wins & 4 nominations"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BOTlhNzYyNzctNmYwOS00OGE3LTgyZWQtYzJkNmEzZGY3NjNjXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""7.1/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""54%""}], ""Metascore"": ""N/A"", ""imdbRating"": ""7.1"", ""imdbVotes"": ""9,712"", ""imdbID"": ""tt0063829"", ""Type"": ""movie"", ""DVD"": ""16 Sep 2008"", ""BoxOffice"": ""N/A"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}"
304,apikey=b2e7529f&t=The Devil's Brigade,searchByIdOrTitle,/,GET,,t=The Devil's Brigade,,,200,"{""Title"": ""The Devil's Brigade"", ""Year"": ""1968"", ""Rated"": ""Approved"", ""Released"": ""02 Aug 1968"", ""Runtime"": ""130 min"", ""Genre"": ""Action, Drama, War"", ""Director"": ""Andrew V. McLaglen"", ""Writer"": ""William Roberts, Robert H. Adleman, George Walton"", ""Actors"": ""William Holden, Cliff Robertson, Vince Edwards"", ""Plot"": ""A US Army Colonel is tasked with forming an elite commando-style unit from crack Canadian troops and the dregs of the US Army."", ""Language"": ""English, German, French"", ""Country"": ""United States"", ""Awards"": ""N/A"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BNjVmOTI4ZTYtZTNlOC00NTU3LWJlNmMtZTQzZGU4ZDI0NDBmXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""6.7/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""50%""}], ""Metascore"": ""N/A"", ""imdbRating"": ""6.7"", ""imdbVotes"": ""6,194"", ""imdbID"": ""tt0062886"", ""Type"": ""movie"", ""DVD"": ""16 Sep 2008"", ""BoxOffice"": ""$8,000,000"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}"
305,apikey=b2e7529f&t=Hellfighters,searchByIdOrTitle,/,GET,,t=Hellfighters,,,200,"{""Title"": ""Hellfighters"", ""Year"": ""1968"", ""Rated"": ""G"", ""Released"": ""27 Nov 1968"", ""Runtime"": ""121 min"", ""Genre"": ""Action, Adventure, Drama"", ""Director"": ""Andrew V. McLaglen"", ""Writer"": ""Clair Huffaker"", ""Actors"": ""John Wayne, Katharine Ross, Jim Hutton"", ""Plot"": ""Divorced Chance Buckman fights international oil rig fires. An injury brings his daughter and to his dismay, she weds Greg, a team member. Chance gets a desk-job, so he and Madelyn remarry, but a Venezuelan oil rig fire reunites t..."", ""Language"": ""English, Spanish"", ""Country"": ""United States"", ""Awards"": ""N/A"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BMzNkODcyMmItOGVlNS00NzU2LTliNDYtNGNkZWMwMmJhOGM2XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""6.5/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""13%""}], ""Metascore"": ""N/A"", ""imdbRating"": ""6.5"", ""imdbVotes"": ""6,335"", ""imdbID"": ""tt0063060"", ""Type"": ""movie"", ""DVD"": ""05 Nov 2019"", ""BoxOffice"": ""N/A"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}"
306,apikey=b2e7529f&t=Witchfinder General,searchByIdOrTitle,/,GET,,t=Witchfinder General,,,200,"{""Title"": ""Witchfinder General"", ""Year"": ""1968"", ""Rated"": ""Unrated"", ""Released"": ""17 May 1968"", ""Runtime"": ""86 min"", ""Genre"": ""Drama, Horror"", ""Director"": ""Michael Reeves"", ""Writer"": ""Tom Baker, Michael Reeves, Louis M. Heyward"", ""Actors"": ""Vincent Price, Ian Ogilvy, Rupert Davies"", ""Plot"": ""A young soldier seeks to put an end to the evils caused by a vicious witch-hunter when the latter terrorizes his fianc\u00e9e and kills her uncle."", ""Language"": ""English"", ""Country"": ""United Kingdom"", ""Awards"": ""1 win & 2 nominations"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BMGQ3NDQ5YjEtMjQ4My00NDBiLTlhODYtY2E0MTk0NDQ0NjkxXkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""6.7/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""88%""}], ""Metascore"": ""N/A"", ""imdbRating"": ""6.7"", ""imdbVotes"": ""12,010"", ""imdbID"": ""tt0063285"", ""Type"": ""movie"", ""DVD"": ""N/A"", ""BoxOffice"": ""N/A"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}"
307,apikey=b2e7529f&t=Coogan's Bluff,searchByIdOrTitle,/,GET,,t=Coogan's Bluff,,,200,"{""Title"": ""Coogan's Bluff"", ""Year"": ""1968"", ""Rated"": ""R"", ""Released"": ""10 Oct 1968"", ""Runtime"": ""94 min"", ""Genre"": ""Action, Comedy, Crime"", ""Director"": ""Don Siegel"", ""Writer"": ""Herman Miller, Dean Riesner, Howard Rodman"", ""Actors"": ""Clint Eastwood, Lee J. Cobb, Susan Clark"", ""Plot"": ""Arizona Deputy Sheriff Coogan is sent to New York City to escort an escaped fugitive back for trial."", ""Language"": ""English"", ""Country"": ""United States"", ""Awards"": ""N/A"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BOWMzZGRiNDktN2NiNS00MGNlLWFlNWYtOGIyNjJkNDdkZTllXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""6.4/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""95%""}], ""Metascore"": ""N/A"", ""imdbRating"": ""6.4"", ""imdbVotes"": ""18,641"", ""imdbID"": ""tt0062824"", ""Type"": ""movie"", ""DVD"": ""11 Sep 2015"", ""BoxOffice"": ""$3,110,000"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}"
